"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","196","Verifica crearea unui utilizator nou","api","Wed May 21 03:02:10 EEST 2025","passed","Wed May 21 03:02:10 EEST 2025","POST /users 200 OK","api/users/post_user.spec.ts","",""
"","34","Verifica filtrarea utilizatorilor dupa cheie/valoare valida","chromium","Wed May 21 02:43:04 EEST 2025","failed","Wed May 21 02:43:04 EEST 2025","GET /users 200 OK","api/users/get_all.spec.ts","",""
"","652","utilizatorul poate crea un task cu lungimea titlului de 1 caracter(e)","chromium","Wed May 21 02:44:47 EEST 2025","passed","Wed May 21 02:44:48 EEST 2025","Crearea task-urilor > Scenarii pozitive","ui/task_creation.spec.ts","",""
"","194","Valideaza status-ul cererii si raspunsul","api","Wed May 21 03:02:06 EEST 2025","passed","Wed May 21 03:02:07 EEST 2025","GET /users 200 OK","api/users/get_all.spec.ts","",""
"","155","Trimite o cerere catre un utilizator cu id invalid","api","Wed May 21 03:02:07 EEST 2025","passed","Wed May 21 03:02:08 EEST 2025","GET /users/:id 400 Bad Request","api/users/get_single_user.spec.ts","",""
"","34","Verifica logarea cu username invalid","chromium","Wed May 21 02:43:02 EEST 2025","failed","Wed May 21 02:43:02 EEST 2025","POST /auth/login 400 Bad Request","api/auth/login.spec.ts","",""
"","32","Valideaza status-ul cererii si detaliile post-urilor unui utilizator inexistent","chromium","Wed May 21 02:43:07 EEST 2025","failed","Wed May 21 02:43:07 EEST 2025","GET /users/:id/posts 404 Not Found","api/users/get_users_posts.spec.ts","",""
"","171","Valideaza status-ul cererii si detaliile post-urilor unui utilizator","api","Wed May 21 03:02:08 EEST 2025","passed","Wed May 21 03:02:08 EEST 2025","GET /users/:id/posts 200 OK","api/users/get_users_posts.spec.ts","",""
"","700","Creare task nr.5 cu importanta: ""Medium"" si etichta: ""Home""","chromium","Wed May 21 02:45:01 EEST 2025","passed","Wed May 21 02:45:02 EEST 2025","","ui/visual_task_creation.spec.ts","",""
"","200","Verifica limitarea si ignorarea numărului de utilizatori","api","Wed May 21 03:02:07 EEST 2025","passed","Wed May 21 03:02:07 EEST 2025","GET /users 200 OK","api/users/get_all.spec.ts","",""
"","34","Trimite o cerere catre un utilizator cu id inexistent","chromium","Wed May 21 02:43:05 EEST 2025","failed","Wed May 21 02:43:06 EEST 2025","GET /users/:id 404 Not Found","api/users/get_single_user.spec.ts","",""
"","788","Verifica logarea cu success si obtinerea token-urilor","api","Wed May 21 03:02:04 EEST 2025","passed","Wed May 21 03:02:05 EEST 2025","POST /auth/login 200 OK","api/auth/login.spec.ts","",""
"","694","Creare task nr.11 cu importanta: ""Low"" si etichta: ""Social""","chromium","Wed May 21 02:45:05 EEST 2025","passed","Wed May 21 02:45:06 EEST 2025","","ui/visual_task_creation.spec.ts","",""
"","751","permite utilizatorului editarea descrierii unui task existent","chromium","Wed May 21 02:44:58 EEST 2025","passed","Wed May 21 02:44:58 EEST 2025","Editarea task-urilor","ui/task_edit.spec.ts","",""
"","413","Verifica logarea cu username invalid","api","Wed May 21 03:02:05 EEST 2025","passed","Wed May 21 03:02:06 EEST 2025","POST /auth/login 400 Bad Request","api/auth/login.spec.ts","",""
"","619","verifica ca task-ul are eticheta implicita 'Work'","chromium","Wed May 21 02:44:39 EEST 2025","passed","Wed May 21 02:44:39 EEST 2025","Verificarea validarii cerintelor","ui/requirements_validation.spec.ts","",""
"","35","Verifica editarea unui utilizator cu id invalid","chromium","Wed May 21 02:43:09 EEST 2025","failed","Wed May 21 02:43:09 EEST 2025","PATCH|PUT /users 400 Bad Request","api/users/patch_user.spec.ts","",""
"","293","Verifica editarea unui utilizator prin metoda PATCH","api","Wed May 21 03:02:08 EEST 2025","passed","Wed May 21 03:02:09 EEST 2025","PATCH|PUT /users 200 OK","api/users/patch_user.spec.ts","",""
"","32","Valideaza status-ul cererii si detaliile post-urilor unui utilizator cu id invalid","chromium","Wed May 21 02:43:07 EEST 2025","failed","Wed May 21 02:43:07 EEST 2025","GET /users/:id/posts 400 Bad Request","api/users/get_users_posts.spec.ts","",""
"","92","Verifica logarea cu success si obtinerea token-urilor","chromium","Wed May 21 02:43:01 EEST 2025","failed","Wed May 21 02:43:01 EEST 2025","POST /auth/login 200 OK","api/auth/login.spec.ts","",""
"","152","Valideaza status-ul cererii si detaliile post-urilor unui utilizator inexistent","api","Wed May 21 03:02:08 EEST 2025","passed","Wed May 21 03:02:08 EEST 2025","GET /users/:id/posts 404 Not Found","api/users/get_users_posts.spec.ts","",""
